fullName,season,rel_batting_impact_score,rel_bowling_impact_score
Ashish Reddy,2016,24.04,25.48
Ashok Dinda,2009,0.64,11.31
Ashok Dinda,2010,0.63,6.3
Ashok Dinda,2011,0.0,25.76
Ashok Dinda,2012,0.0,17.52
Ashok Dinda,2013,1.3,37.11
Ashok Dinda,2014,1.19,30.41
Ashok Dinda,2015,0.92,23.93
Ashok Dinda,2016,0.0,17.52
Ashok Dinda,2017,0.0,33.58
Ashok Menaria,2011,9.16,2.49
Ashok Menaria,2012,22.38,5.29
Ashok Menaria,2013,36.01,9.96
Ashton Turner,2019,0.48,0.0
Avesh Khan,2017,1.6,10.06
Avesh Khan,2018,0.0,27.34
Avesh Khan,2019,0.0,16.33
Avesh Khan,2020,2.49,10.06
Avesh Khan,2021,0.0,10.06
Avesh Khan,2022,3.21,30.42
Axar Patel,2014,9.05,11.34
Axar Patel,2015,6.08,27.64
Axar Patel,2016,18.84,22.34
Axar Patel,2017,13.78,34.01
Axar Patel,2018,26.86,48.2
Axar Patel,2019,20.76,38.5
Axar Patel,2020,20.38,48.56
Axar Patel,2021,29.35,47.88
Axar Patel,2022,24.91,66.74
Ayush Badoni,2022,10.64,18.18
Azhar Bilakhia,2009,4.82,0.0
Azhar Bilakhia,2010,13.19,0.0
Azhar Mahmood,2012,10.6,11.41
Azhar Mahmood,2013,24.23,27.7
Azhar Mahmood,2015,21.2,22.82
Baba Indrajith,2022,4.8,0.0
Balachandra Akhil,2009,4.52,4.33
Balachandra Akhil,2010,3.8,15.29
Balachandra Akhil,2011,0.0,4.33
Barinder Sran,2015,0.67,3.65
Barinder Sran,2016,0.0,0.0
Barinder Sran,2017,0.82,11.88
Barinder Sran,2018,0.0,0.0
Barinder Sran,2019,0.68,6.38
Basil Thampi,2017,1.21,7.99
Basil Thampi,2018,4.68,17.59
Basil Thampi,2019,3.19,28.72
Basil Thampi,2020,1.83,17.59
Basil Thampi,2022,3.04,25.58
Ben Cutting,2014,8.94,8.64
Ben Cutting,2016,17.88,17.28
Ben Cutting,2017,29.78,34.7
Ben Cutting,2018,41.83,19.75
Ben Cutting,2019,41.19,22.66
Ben Dunk,2014,9.34,0.0
Ben Hilfenhaus,2012,0.0,17.01
Ben Hilfenhaus,2014,0.0,34.02
Ben Laughlin,2013,0.84,8.66
Ben Laughlin,2018,1.68,17.32
Ben Rohrer,2013,18.55,0.0
Ben Stokes,2017,14.42,6.81
Ben Stokes,2018,36.32,20.67
Ben Stokes,2019,25.96,14.95
Ben Stokes,2020,24.32,23.7
Ben Stokes,2021,53.07,18.25
Beuran Hendricks,2014,0.31,13.77
Beuran Hendricks,2015,0.0,12.72
Bhanuka Rajapaksa,2022,16.34,0.0
Bharat Chipli,2011,8.74,0.0
Bharat Chipli,2012,20.77,0.0
Bharat Chipli,2013,15.22,0.0
Bhargav Bhatt,2011,1.25,8.98
Bhargav Bhatt,2012,0.0,23.36
Bhargav Bhatt,2013,3.76,13.73
Bhuvneshwar Kumar,2011,2.34,14.15
Bhuvneshwar Kumar,2012,0.62,12.38
Bhuvneshwar Kumar,2013,4.17,10.0
Bhuvneshwar Kumar,2014,8.11,22.4
Bhuvneshwar Kumar,2015,4.49,44.57
Bhuvneshwar Kumar,2016,8.39,38.56
Bhuvneshwar Kumar,2017,8.01,57.28
Bhuvneshwar Kumar,2018,5.79,85.36
Bhuvneshwar Kumar,2019,7.99,66.97
Bhuvneshwar Kumar,2020,7.79,78.06
Bhuvneshwar Kumar,2021,5.79,77.59
Bhuvneshwar Kumar,2022,9.74,73.84
Billy Stanlake,2017,1.56,13.44
Billy Stanlake,2018,0.0,11.52
Biplab Samantray,2012,7.36,0.0
Biplab Samantray,2013,1.24,0.0
Bipul Sharma,2010,5.58,9.61
Bipul Sharma,2011,2.8,7.95
Bipul Sharma,2012,8.44,23.25
Bipul Sharma,2013,21.48,7.95
Bipul Sharma,2015,14.02,17.56
Bipul Sharma,2016,9.08,31.56
Bipul Sharma,2017,18.02,23.3
Bodapati Sumanth,2010,7.49,0.0
Brad Haddin,2011,12.54,0.0
Brad Hodge,2009,2.66,0.0
Brad Hodge,2010,28.23,9.6
Brad Hodge,2011,21.56,6.08
Brad Hodge,2012,19.18,34.12
Brad Hodge,2013,18.26,10.82
Brad Hodge,2014,35.39,6.08
Brad Hogg,2012,1.84,12.14
Brad Hogg,2013,6.88,27.98
Brad Hogg,2015,3.68,24.28
Brad Hogg,2016,5.99,47.98
Brendon McCullum,2009,38.41,0.0
Brendon McCullum,2010,16.36,0.0
Brendon McCullum,2011,34.62,0.0
Brendon McCullum,2012,55.35,0.0
Brendon McCullum,2013,53.25,0.0
Brendon McCullum,2014,38.61,0.0
Brendon McCullum,2015,61.21,0.0
Brendon McCullum,2016,84.81,0.0
Brendon McCullum,2017,77.26,0.0
Brendon McCullum,2018,98.96,0.0
Brett Lee,2009,3.98,14.4
Brett Lee,2010,9.08,32.4
Brett Lee,2011,6.47,14.4
Brett Lee,2012,4.79,20.07
Brett Lee,2013,14.39,28.96
Callum Ferguson,2011,9.28,0.0
Callum Ferguson,2012,18.86,0.0
Cameron White,2010,14.48,1.25
Cameron White,2011,7.0,0.0
Cameron White,2012,20.81,0.0
Cameron White,2013,50.6,0.0
Carlos Brathwaite,2016,7.6,7.17
Carlos Brathwaite,2017,16.78,17.95
Carlos Brathwaite,2018,11.65,11.67
Carlos Brathwaite,2019,25.21,25.09
Chaminda Vaas,2009,3.46,11.63
Chaminda Vaas,2010,14.8,34.19
Chandan Madan,2010,11.21,0.0
Chandrasekar Ganapathy,2010,0.0,0.0
Charl Langeveldt,2009,1.81,40.87
Charl Langeveldt,2010,0.0,120.79
Charl Langeveldt,2011,0.0,61.77
Chetan Sakariya,2021,1.05,12.62
Chetan Sakariya,2022,3.15,12.26
Chetanya Nanda,2009,0.0,9.44
Cheteshwar Pujara,2010,12.42,0.0
Cheteshwar Pujara,2011,28.71,0.0
Cheteshwar Pujara,2012,20.27,0.0
Cheteshwar Pujara,2013,16.23,0.0
Cheteshwar Pujara,2014,34.05,0.0
Chidhambaram Gautam,2013,7.7,0.0
Chidhambaram Gautam,2014,18.46,0.0
Chidhambaram Gautam,2015,17.44,0.0
Chris Gayle,2009,27.05,2.63
Chris Gayle,2010,19.0,1.78
Chris Gayle,2011,43.32,8.82
Chris Gayle,2012,86.76,18.72
Chris Gayle,2013,132.03,8.82
Chris Gayle,2014,124.98,16.32
Chris Gayle,2015,103.11,8.82
Chris Gayle,2016,131.18,8.82
Chris Gayle,2017,119.46,16.77
Chris Gayle,2018,135.94,8.82
Chris Gayle,2019,162.74,8.82
Chris Gayle,2020,192.68,8.82
Chris Gayle,2021,225.98,8.82
Chris Green,2020,0.0,0.0
Chris Jordan,2016,3.62,8.74
Chris Jordan,2017,1.96,22.73
Chris Jordan,2018,0.0,19.84
Chris Jordan,2020,3.62,17.48
Chris Jordan,2021,8.66,27.77
Chris Jordan,2022,19.68,40.19
Chris Lynn,2012,22.7,0.0
Chris Lynn,2014,45.4,0.0
Chris Lynn,2016,68.1,0.0
Chris Lynn,2017,54.97,0.0
Chris Lynn,2018,88.51,0.0
Chris Lynn,2019,79.0,0.0
Chris Lynn,2021,77.67,0.0
Chris Morris,2013,9.32,14.96
Chris Morris,2015,18.64,29.92
Chris Morris,2016,17.66,46.68
Chris Morris,2017,41.33,45.32
Chris Morris,2018,32.0,63.42
Chris Morris,2019,29.71,52.67
Chris Morris,2020,21.18,68.29
Chris Morris,2021,25.63,87.67
Chris Woakes,2017,5.6,17.56
Chris Woakes,2018,4.56,14.83
Chris Woakes,2021,10.16,32.39
Clint McKay,2012,5.7,5.88
Colin Ingram,2011,7.98,0.0
Colin Ingram,2019,15.96,0.0
Colin Munro,2016,10.28,0.0
Colin Munro,2018,20.56,0.0
Colin Munro,2019,18.81,0.0
Colin de Grandhomme,2017,10.0,2.86
Colin de Grandhomme,2018,9.71,8.09
Colin de Grandhomme,2019,21.68,6.2
Corey Anderson,2014,13.73,5.35
Corey Anderson,2015,31.83,4.32
Corey Anderson,2017,27.46,9.67
