fullName,season,balls_bowled,conceded,wickets,MatchPlayed,4W_haul,5W_haul,dots,foursConceded,sixesConceded,wides,noballs,maidens,total_overs_bowled,economy,Bowling_strike_rate,average,Bowling_Quality,Bowling_Frequency,Bowling_Player_Impact,4W_factor,5W_factor,Bowling_Impact_Score
Shardul Thakur,2018,280.0,431,16,13,0,0,113,33,24,15,0,1,46.4,9.29,17.5,26.94,0.62,21.54,13.35,0.0,0.0,13.35
Shardul Thakur,2019,180.0,281,8,9,0,0,65,29,11,10,0,0,30.0,9.37,22.5,35.12,0.47,20.0,9.4,0.0,0.0,9.4
Shardul Thakur,2020,194.0,275,10,9,0,0,68,26,8,7,2,0,32.2,8.54,19.4,27.5,0.6,21.56,12.94,0.0,0.0,12.94
Shardul Thakur,2021,359.0,527,21,16,0,0,137,51,17,27,2,1,59.5,8.86,17.1,25.1,0.66,22.44,14.81,0.0,0.0,14.81
Shardul Thakur,2022,290.0,473,15,14,1,0,109,42,23,24,1,1,48.2,9.81,19.33,31.53,0.53,20.71,10.98,0.07,0.0,11.36
Shashank Singh,2022,12.0,20,0,2,0,0,1,2,0,1,0,0,2.0,10.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
Shaun Pollock,2008,276.0,301,11,13,0,0,132,30,9,4,0,1,46.0,6.54,25.09,27.36,0.61,21.23,12.95,0.0,0.0,12.95
Shaun Tait,2010,187.0,264,10,8,0,0,80,31,5,17,1,0,31.1,8.49,18.7,26.4,0.63,23.38,14.73,0.0,0.0,14.73
Shaun Tait,2011,89.0,127,6,4,0,0,49,16,4,7,6,1,14.5,8.76,14.83,21.17,0.77,22.25,17.13,0.0,0.0,17.13
Shaun Tait,2012,137.0,151,6,6,0,0,68,11,2,18,2,0,22.5,6.71,22.83,25.17,0.65,22.83,14.84,0.0,0.0,14.84
Shaun Tait,2013,60.0,98,1,3,0,0,25,13,1,10,0,0,10.0,9.8,60.0,98.0,0.17,20.0,3.4,0.0,0.0,3.4
Sheldon Cottrell,2020,120.0,176,6,6,0,0,59,19,8,11,0,1,20.0,8.8,20.0,29.33,0.57,20.0,11.4,0.0,0.0,11.4
Sherfane Rutherford,2019,41.0,59,1,6,0,0,8,4,1,5,0,0,6.5,9.08,41.0,59.0,0.27,6.83,1.84,0.0,0.0,1.84
Shikhar Dhawan,2011,12.0,11,1,2,0,0,6,0,1,0,0,0,2.0,5.5,12.0,11.0,1.52,6.0,9.12,0.0,0.0,9.12
Shikhar Dhawan,2012,36.0,55,3,4,0,0,14,7,2,1,0,0,6.0,9.17,12.0,18.33,0.91,9.0,8.19,0.0,0.0,8.19
Shivam Dube,2019,10.0,8,0,2,0,0,3,0,0,1,0,0,1.4,5.71,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
Shivam Dube,2020,54.0,73,4,5,0,0,14,6,2,1,0,0,9.0,8.11,13.5,18.25,0.91,10.8,9.83,0.0,0.0,9.83
Shivam Dube,2021,30.0,49,0,4,0,0,7,2,3,1,0,0,5.0,9.8,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0
Shivam Dube,2022,12.0,36,0,2,0,0,1,4,2,2,0,0,2.0,18.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
Shivam Mavi,2018,168.0,270,5,9,0,0,64,22,16,10,1,0,28.0,9.64,33.6,54.0,0.31,18.67,5.79,0.0,0.0,5.79
Shivam Mavi,2020,156.0,212,9,8,0,0,63,24,5,6,0,2,26.0,8.15,17.33,23.56,0.71,19.5,13.84,0.0,0.0,13.84
Shivam Mavi,2021,193.0,233,11,9,1,0,91,28,4,8,3,0,32.1,7.26,17.55,21.18,0.78,21.44,16.72,0.11,0.0,17.64
Shivam Mavi,2022,132.0,227,5,6,0,0,49,18,13,8,2,0,22.0,10.32,26.4,45.4,0.37,22.0,8.14,0.0,0.0,8.14
Shivam Sharma,2014,96.0,121,3,4,0,0,34,4,8,0,0,0,16.0,7.56,32.0,40.33,0.41,24.0,9.84,0.0,0.0,9.84
Shivam Sharma,2015,18.0,44,1,1,0,0,3,5,2,0,0,0,3.0,14.67,18.0,44.0,0.38,18.0,6.84,0.0,0.0,6.84
Shivil Kaushik,2016,138.0,192,6,7,0,0,51,15,9,3,1,0,23.0,8.35,23.0,32.0,0.52,19.71,10.25,0.0,0.0,10.25
Shivil Kaushik,2017,66.0,105,0,3,0,0,21,10,5,2,0,0,11.0,9.55,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0
Shoaib Ahmed,2009,102.0,152,5,7,0,0,35,14,7,1,0,0,17.0,8.94,20.4,30.4,0.55,14.57,8.01,0.0,0.0,8.01
Shoaib Akhtar,2008,42.0,54,5,3,1,0,23,6,2,4,0,0,7.0,7.71,8.4,10.8,1.54,14.0,21.56,0.33,0.0,25.12
Shoaib Malik,2008,51.0,85,2,5,0,0,17,7,3,6,1,0,8.3,10.24,25.5,42.5,0.38,10.2,3.88,0.0,0.0,3.88
Shreyas Gopal,2014,84.0,113,6,4,0,0,30,7,5,1,0,0,14.0,8.07,14.0,18.83,0.89,21.0,18.69,0.0,0.0,18.69
Shreyas Gopal,2015,13.0,23,1,1,0,0,2,0,2,0,0,0,2.1,10.95,13.0,23.0,0.7,13.0,9.1,0.0,0.0,9.1
Shreyas Gopal,2016,18.0,18,0,1,0,0,5,1,0,0,0,0,3.0,6.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0
Shreyas Gopal,2018,186.0,236,11,10,1,0,69,10,15,2,0,0,31.0,7.61,16.91,21.45,0.78,18.6,14.51,0.1,0.0,15.24
Shreyas Gopal,2019,288.0,347,20,14,0,0,107,21,17,0,1,1,48.0,7.23,14.4,17.35,0.96,20.57,19.75,0.0,0.0,19.75
